Legislation Number,URL,Title,Sponsor,Date of Introduction,Committees,Latest Action,Number of Cosponsors
H.R. 7030,https://www.congress.gov/bill/118th-congress/house-bill/7030,REG Act of 2024,"Kim, Young [Rep.-R-CA-40]",1/18/2024,House - Financial Services,Referred to the House Committee on Financial Services.,5
H.R. 7029,https://www.congress.gov/bill/118th-congress/house-bill/7029,Bubble Tax Modernization Act of 2024,"Blumenauer, Earl [Rep.-D-OR-3]",1/18/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,2
H.R. 7028,https://www.congress.gov/bill/118th-congress/house-bill/7028,Keeping Our Promise Act,"Torres, Ritchie [Rep.-D-NY-15]",1/17/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,73
H.R. 7027,https://www.congress.gov/bill/118th-congress/house-bill/7027,Safeguarding Charity Act,"Steube, W. Gregory [Rep.-R-FL-17]",1/17/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,12
H.R. 7026,https://www.congress.gov/bill/118th-congress/house-bill/7026,Reducing Permitting Uncertainty Act,"Stauber, Pete [Rep.-R-MN-8]",1/17/2024,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,1
H.R. 7025,https://www.congress.gov/bill/118th-congress/house-bill/7025,United States Commission on International Religious Freedom Reauthorization Act of 2024,"Smith, Christopher H. [Rep.-R-NJ-4]",1/17/2024,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,5
H.R. 7024,https://www.congress.gov/bill/118th-congress/house-bill/7024,Tax Relief for American Families and Workers Act of 2024,"Smith, Jason [Rep.-R-MO-8]",1/17/2024,"House - Ways and Means, Rules",Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 349.,0
H.R. 7023,https://www.congress.gov/bill/118th-congress/house-bill/7023,Creating Confidence in Clean Water Permitting Act,"Rouzer, David [Rep.-R-NC-7]",1/17/2024,House - Transportation and Infrastructure | Senate - Environment and Public Works,Received in the Senate and Read twice and referred to the Committee on Environment and Public Works.,0
H.R. 7022,https://www.congress.gov/bill/118th-congress/house-bill/7022,"To provide equitable treatment for the people of the Village Corporation established for the Native Village of Saxman, Alaska, and for other purposes.","Peltola, Mary Sattler [Rep.-D-AK-At Large]",1/17/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,1
H.R. 7021,https://www.congress.gov/bill/118th-congress/house-bill/7021,Water Quality Criteria Development and Transparency Act,"Owens, Burgess [Rep.-R-UT-4]",1/17/2024,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,1
H.R. 7020,https://www.congress.gov/bill/118th-congress/house-bill/7020,Great Lakes Mapping Act,"McClain, Lisa C. [Rep.-R-MI-9]",1/17/2024,House - Natural Resources,Subcommittee Hearings Held,19
H.R. 7019,https://www.congress.gov/bill/118th-congress/house-bill/7019,Holding Foreign Insiders Accountable Act,"Luetkemeyer, Blaine [Rep.-R-MO-3]",1/17/2024,House - Financial Services,Referred to the House Committee on Financial Services.,1
H.R. 7018,https://www.congress.gov/bill/118th-congress/house-bill/7018,Glue Trap Prohibition Act of 2024,"Lieu, Ted [Rep.-D-CA-36]",1/17/2024,House - Agriculture,Referred to the House Committee on Agriculture.,3
H.R. 7017,https://www.congress.gov/bill/118th-congress/house-bill/7017,To amend the Internal Revenue Code of 1986 to take certain Medicare premiums of household members into account in determining the health care insurance premiums tax credit.,"Levin, Mike [Rep.-D-CA-49]",1/17/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,2
H.R. 7016,https://www.congress.gov/bill/118th-congress/house-bill/7016,PATHS to Tutor Act of 2024,"Lee, Susie [Rep.-D-NV-3]",1/17/2024,House - Education and the Workforce,Referred to the House Committee on Education and the Workforce.,2
H.R. 7015,https://www.congress.gov/bill/118th-congress/house-bill/7015,CAREERS Act,"Langworthy, Nicholas A. [Rep.-R-NY-23]",1/17/2024,House - Agriculture,Referred to the House Committee on Agriculture.,29
H.R. 7014,https://www.congress.gov/bill/118th-congress/house-bill/7014,Protect Medicaid Act,"Hudson, Richard [Rep.-R-NC-9]",1/17/2024,House - Energy and Commerce,Referred to the Subcommittee on Health.,15
H.R. 7013,https://www.congress.gov/bill/118th-congress/house-bill/7013,Confidence in Clean Water Permits Act,"Duarte, John S. [Rep.-R-CA-13]",1/17/2024,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,1
H.R. 7012,https://www.congress.gov/bill/118th-congress/house-bill/7012,Transit Emergency Relief Act,"D'Esposito, Anthony [Rep.-R-NY-4]",1/17/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,17
H.R. 7011,https://www.congress.gov/bill/118th-congress/house-bill/7011,"To designate the facility of the United States Postal Service located at 209 Main Street in Duncan, Arizona, as the ""Sandra Day O'Connor Post Office"".","Ciscomani, Juan [Rep.-R-AZ-6]",1/17/2024,House - Oversight and Accountability,Referred to the House Committee on Oversight and Accountability.,4
H.R. 7010,https://www.congress.gov/bill/118th-congress/house-bill/7010,Increasing Access to Foster Care Through Age 21 Act,"Chu, Judy [Rep.-D-CA-28]",1/17/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,1
H.R. 7009,https://www.congress.gov/bill/118th-congress/house-bill/7009,Securing Airport Facilities for Enhanced Parking Act,"Caraveo, Yadira [Rep.-D-CO-8]",1/17/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,1
H.R. 7008,https://www.congress.gov/bill/118th-congress/house-bill/7008,Judicial Review Timeline Clarity Act,"Burlison, Eric [Rep.-R-MO-7]",1/17/2024,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,1
H.R. 7007,https://www.congress.gov/bill/118th-congress/house-bill/7007,BEST Act,"Brownley, Julia [Rep.-D-CA-26]",1/17/2024,House - Education and the Workforce,Referred to the House Committee on Education and the Workforce.,14
H.R. 7006,https://www.congress.gov/bill/118th-congress/house-bill/7006,To prohibit natural asset companies from entering into any agreement with respect to land in the State of Utah or natural assets on or in such land.,"Curtis, John R. [Rep.-R-UT-3]",1/17/2024,House - Natural Resources,Subcommittee Hearings Held,0
H.R. 7005,https://www.congress.gov/bill/118th-congress/house-bill/7005,Rural Broadband Protection Act of 2024,"Curtis, John R. [Rep.-R-UT-3]",1/17/2024,House - Energy and Commerce,Referred to the Subcommittee on Communications and Technology.,1
H.R. 7004,https://www.congress.gov/bill/118th-congress/house-bill/7004,To amend the Mineral Leasing Act to amend references of gilsonite to asphaltite.,"Curtis, John R. [Rep.-R-UT-3]",1/17/2024,House - Natural Resources,Subcommittee Hearings Held,3
H.R. 7003,https://www.congress.gov/bill/118th-congress/house-bill/7003,National Landslide Preparedness Act Reauthorization Act of 2024,"DelBene, Suzan K. [Rep.-D-WA-1]",1/17/2024,"House - Natural Resources, Science, Space, and Technology",Ordered to be Reported in the Nature of a Substitute by Unanimous Consent.,17
H.R. 7002,https://www.congress.gov/bill/118th-congress/house-bill/7002,Nurse Faculty Shortage Reduction Act of 2024,"Bonamici, Suzanne [Rep.-D-OR-1]",1/17/2024,House - Energy and Commerce,Referred to the Subcommittee on Health.,7
H.R. 7001,https://www.congress.gov/bill/118th-congress/house-bill/7001,Wabeno Economic Development Act,"Tiffany, Thomas P. [Rep.-R-WI-7]",1/16/2024,House - Agriculture,Referred to the House Committee on Agriculture.,0
H.R. 7000,https://www.congress.gov/bill/118th-congress/house-bill/7000,Business of Insurance Regulatory Reform Act of 2024,"Steil, Bryan [Rep.-R-WI-1]",1/16/2024,House - Financial Services,Referred to the House Committee on Financial Services.,2
H.R. 6999,https://www.congress.gov/bill/118th-congress/house-bill/6999,Holding Prosecutors Accountable Act,"Meuser, Daniel [Rep.-R-PA-9]",1/16/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,3
H.R. 6998,https://www.congress.gov/bill/118th-congress/house-bill/6998,FAITH in Small Business Act,"Mann, Tracey [Rep.-R-KS-1]",1/16/2024,House - Small Business,Referred to the House Committee on Small Business.,0
H.R. 6997,https://www.congress.gov/bill/118th-congress/house-bill/6997,Disaster Contract Improvement Act,"LaLota, Nick [Rep.-R-NY-1]",1/16/2024,House - Transportation and Infrastructure,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",2
H.R. 6996,https://www.congress.gov/bill/118th-congress/house-bill/6996,Block Foreign-Funded Political Ads Act,"Golden, Jared F. [Rep.-D-ME-2]",1/16/2024,House - House Administration,Referred to the House Committee on House Administration.,2
H.R. 6995,https://www.congress.gov/bill/118th-congress/house-bill/6995,Funding A Secure America Act,"Biggs, Andy [Rep.-R-AZ-5]",1/16/2024,House - Appropriations,Referred to the House Committee on Appropriations.,7
H.R. 6994,https://www.congress.gov/bill/118th-congress/house-bill/6994,Restoring Our Unopened Trails for Enjoyment and Safety Act,"Kim, Young [Rep.-R-CA-40]",1/16/2024,"House - Natural Resources, Agriculture",Subcommittee Hearings Held,2
H.R. 6993,https://www.congress.gov/bill/118th-congress/house-bill/6993,Retirement Freedom Act,"Palmer, Gary J. [Rep.-R-AL-6]",1/12/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,1
H.R. 6992,https://www.congress.gov/bill/118th-congress/house-bill/6992,MAPS Act,"Matsui, Doris O. [Rep.-D-CA-7]",1/12/2024,House - Energy and Commerce,Referred to the Subcommittee on Health.,2
H.R. 6991,https://www.congress.gov/bill/118th-congress/house-bill/6991,"To designate the outpatient clinic of the Department of Veterans Affairs in Wyandotte County, Kansas City, Kansas, as the ""Captain Elwin Shopteese VA Clinic"".","LaTurner, Jake [Rep.-R-KS-2]",1/12/2024,House - Veterans' Affairs,Referred to the Subcommittee on Health.,3
H.R. 6990,https://www.congress.gov/bill/118th-congress/house-bill/6990,Digital Trade for Development Act,"LaHood, Darin [Rep.-R-IL-16]",1/12/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,0
H.R. 6989,https://www.congress.gov/bill/118th-congress/house-bill/6989,Blue Ridge Fire Safety Act,"Good, Bob [Rep.-R-VA-5]",1/12/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,0
H.R. 6988,https://www.congress.gov/bill/118th-congress/house-bill/6988,Jane’s Law,"D'Esposito, Anthony [Rep.-R-NY-4]",1/12/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,7
H.R. 6987,https://www.congress.gov/bill/118th-congress/house-bill/6987,Student Visa Security Improvement Act,"Bilirakis, Gus M. [Rep.-R-FL-12]",1/12/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,0
H.R. 6986,https://www.congress.gov/bill/118th-congress/house-bill/6986,To address patent thickets.,"Arrington, Jodey C. [Rep.-R-TX-19]",1/12/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,7
H.R. 6985,https://www.congress.gov/bill/118th-congress/house-bill/6985,BOP Release Card ID Act of 2024,"Trone, David J. [Rep.-D-MD-6]",1/11/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,21
H.R. 6984,https://www.congress.gov/bill/118th-congress/house-bill/6984,"To designate the Federal building located at 300 E. 3rd Street in North Platte, Nebraska, as the ""Virginia Smith Federal Building"", and for other purposes.","Smith, Adrian [Rep.-R-NE-3]",1/11/2024,House - Transportation and Infrastructure,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",2
H.R. 6983,https://www.congress.gov/bill/118th-congress/house-bill/6983,"To designate the facility of the United States Postal Service located at 15 South Valdosta Road in Lakeland, Georgia, as the ""Nell Patten Roquemore Post Office"".","Scott, Austin [Rep.-R-GA-8]",1/11/2024,House - Oversight and Accountability,Ordered to be Reported by Voice Vote.,13
H.R. 6982,https://www.congress.gov/bill/118th-congress/house-bill/6982,"Gambling Addiction, Recovery, Investment, and Treatment Act","Salinas, Andrea [Rep.-D-OR-6]",1/11/2024,House - Energy and Commerce,Referred to the Subcommittee on Health.,0
H.R. 6981,https://www.congress.gov/bill/118th-congress/house-bill/6981,Preventing Private Paramilitary Activity Act of 2024,"Raskin, Jamie [Rep.-D-MD-8]",1/11/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,13
H.R. 6980,https://www.congress.gov/bill/118th-congress/house-bill/6980,DOCTORS Act,"Nehls, Troy E. [Rep.-R-TX-22]",1/11/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,22
H.R. 6979,https://www.congress.gov/bill/118th-congress/house-bill/6979,To amend the Internal Revenue Code of 1986 to provide a credit to small businesses for research activities related to the mitigation of certain drug threats.,"Neguse, Joe [Rep.-D-CO-2]",1/11/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,6
H.R. 6978,https://www.congress.gov/bill/118th-congress/house-bill/6978,Combating Online Fentanyl Trafficking Act,"Neguse, Joe [Rep.-D-CO-2]",1/11/2024,House - Oversight and Accountability,Referred to the House Committee on Oversight and Accountability.,2
H.R. 6977,https://www.congress.gov/bill/118th-congress/house-bill/6977,Independent Drug Value Assessment Act of 2024,"Nadler, Jerrold [Rep.-D-NY-12]",1/11/2024,House - Energy and Commerce,Referred to the Subcommittee on Health.,2
H.R. 6976,https://www.congress.gov/bill/118th-congress/house-bill/6976,Protect Our Communities from DUIs Act,"Moore, Barry [Rep.-R-AL-2]",1/11/2024,House - Judiciary | Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,0
H.R. 6975,https://www.congress.gov/bill/118th-congress/house-bill/6975,"To designate the United States courthouse located at 500 West Pike Street in Clarksburg, West Virginia, as the ""Irene M. Keeley United States Courthouse"", and for other purposes.","Mooney, Alexander X. [Rep.-R-WV-2]",1/11/2024,House - Transportation and Infrastructure,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",1
H.R. 6974,https://www.congress.gov/bill/118th-congress/house-bill/6974,HYDRO Act of 2024,"Maloy, Celeste [Rep.-R-UT-2]",1/11/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,3
H.R. 6973,https://www.congress.gov/bill/118th-congress/house-bill/6973,COPS on the Beat Grant Program Reauthorization and Parity Act of 2024,"LaLota, Nick [Rep.-R-NY-1]",1/11/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,7
H.R. 6972,https://www.congress.gov/bill/118th-congress/house-bill/6972,Securing Chain of Command Continuity Act,"Kiggans, Jennifer A [Rep.-R-VA-2]",1/11/2024,House - Oversight and Accountability | Senate - Homeland Security and Governmental Affairs,Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,14
H.R. 6971,https://www.congress.gov/bill/118th-congress/house-bill/6971,Mandatory Removal Proceedings Act,"Hunt, Wesley [Rep.-R-TX-38]",1/11/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,0
